date, news
2017-10-01,7
2017-10-02,8
2017-10-03,8
2017-10-04,8
2017-10-05,7
2017-10-06,7
2017-10-07,7
2017-10-08,7
2017-10-09,9
2017-10-10,9
2017-10-11,9
2017-10-12,15
2017-10-13,18
2017-10-14,12
2017-10-15,12
2017-10-16,12
2017-10-17,11
2017-10-18,12
2017-10-19,11
2017-10-20,13
2017-10-21,14
2017-10-22,12
2017-10-23,14
2017-10-24,14
2017-10-25,13
2017-10-26,13
2017-10-27,11
2017-10-28,10
2017-10-29,10
2017-10-30,12
2017-10-31,14
2017-11-01,18
2017-11-02,23
2017-11-03,21
2017-11-04,17
2017-11-05,16
2017-11-06,17
2017-11-07,16
2017-11-08,18
2017-11-09,16
2017-11-10,20
2017-11-11,19
2017-11-12,24
2017-11-13,21
2017-11-14,17
2017-11-15,16
2017-11-16,17
2017-11-17,19
2017-11-18,15
2017-11-19,14
2017-11-20,19
2017-11-21,20
2017-11-22,17
2017-11-23,16
2017-11-24,15
2017-11-25,16
2017-11-26,23
2017-11-27,32
2017-11-28,37
2017-11-29,61
2017-11-30,50
2017-12-01,37
2017-12-02,29
2017-12-03,29
2017-12-04,34
2017-12-05,35
2017-12-06,46
2017-12-07,94
2017-12-08,84
2017-12-09,56
2017-12-10,54
2017-12-11,62
2017-12-12,58
2017-12-13,53
2017-12-14,45
2017-12-15,42
2017-12-16,41
2017-12-17,46
2017-12-18,46
2017-12-19,50
2017-12-20,69
2017-12-21,50
2017-12-22,100
2017-12-23,61
2017-12-24,47
2017-12-25,41
2017-12-26,39
2017-12-27,37
2017-12-28,37
2017-12-29,33
2017-12-30,32
2017-12-31,27
2018-01-01,26
2018-01-02,31
2018-01-03,31
2018-01-04,30
2018-01-05,29
2018-01-06,26
2018-01-07,26
2018-01-08,29
2018-01-09,27
2018-01-10,29
2018-01-11,32
2018-01-12,27
2018-01-13,23
2018-01-14,21
2018-01-15,22
2018-01-16,43
2018-01-17,57
2018-01-18,40
2018-01-19,29
2018-01-20,24
2018-01-21,22
2018-01-22,26
2018-01-23,25
2018-01-24,23
2018-01-25,22
2018-01-26,22
2018-01-27,19
2018-01-28,17
2018-01-29,18
2018-01-30,20
2018-01-31,22
2018-02-01,28
2018-02-02,37
2018-02-03,24
2018-02-04,21
2018-02-05,36
2018-02-06,46
